MRID,MUSE_702,MUSE_601,MUSE_604,MUSE_47,MUSE_48
OAS30003_MR_d2682,1363021.0933134556,664596.1302857972,482555.9759046292,4181.708319092281,3800.7891420014894
OAS30003_MR_d3320,1359892.378880024,657475.8694427654,477458.4857349176,4076.869226572071,3771.918987803461
OAS30003_MR_d3731,1354443.3865792751,656272.0573814679,476133.0090284356,4165.91191534696,3791.036215251463
OAS30004_MR_d1101,1369463.4078103304,693861.5759946081,520483.3733613055,4352.258811691332,3877.144186134817
OAS30004_MR_d2229,1354061.4448606968,693283.9218061104,511724.4972564196,4286.609998006012,3849.394787566374
OAS30004_MR_d2232,1354340.4826505184,675919.7658992752,518393.7804428517,4229.651707165146,3870.251112254413
OAS30004_MR_d3457,1343968.8667001724,667834.9800761992,515075.59324458,4330.466928079647,3802.1187164543194
OAS30005_MR_d0143,1455550.2237529757,711155.2035549375,525056.6417025006,4276.580790943372,4177.353899170967
OAS30005_MR_d0581,1441788.0,699377.7795348554,505778.68590944016,4292.614448171298,4178.554683490222
OAS30005_MR_d1274,1428980.5993747711,696377.6648453159,508288.9775615546,4190.000391889017,4138.963845438972
OAS30005_MR_d2377,1424886.679438591,682742.6404638686,508182.3738881567,4269.267857218051,4135.790512363797
OAS30005_MR_d2384,1415029.2803313732,686227.2244028937,504254.375414477,4274.874041455714,4011.825623000724
OAS30005_MR_d3453,1384278.4820065498,677488.8962174818,503045.6474908248,4277.448955386227,4160.2396835590735
OAS30006_MR_d0166,1772039.260647297,634895.9842892936,556501.9581950746,3216.6203923162007,3103.643258617188
OAS30006_MR_d0373,1724819.1775417328,661511.5896151483,497561.7687642769,3427.3837269976,3082.4897670481555
OAS30006_MR_d2341,1718246.506268978,641121.5242090463,491102.5280490176,3384.7444073652023,3032.704357127809
OAS30006_MR_d2342,1712828.9151802063,643341.5291433132,485330.92888270976,3385.6150676134835,3035.6864529885224
OAS30006_MR_d3386,1713462.9949243069,642802.2355125218,482052.93839486525,3406.6636907613724,3047.950247849285
OAS30007_MR_d0061,1527737.2648530006,624707.5815157271,450082.3961113853,4073.567395541917,3556.8832957397253
OAS30007_MR_d1636,1502812.567173481,612844.0783378825,440544.1176862453,3993.388053908145,3395.141942778776
OAS30007_MR_d1641,1504630.6682389977,610833.0669339299,442769.4593964109,3929.8951970347584,3430.9363147026543
OAS30007_MR_d1981,1503769.1511559486,614896.3768988148,435294.2111377628,3952.128221991838,3394.874338910217
OAS30007_MR_d2722,1486205.82537961,603311.2117643994,437686.2707058514,3723.366322583311,3295.6736749737065
OAS30008_MR_d0061,1321908.6848323343,707726.7270288651,500103.91032968246,4155.074214639587,3679.095913561373
OAS30008_MR_d1313,1294685.0960290432,693234.8195460427,494125.9904218411,4120.825020749241,3694.73613667177
OAS30008_MR_d1327,1314523.3370776176,699091.5562108607,495375.4786587501,4122.502114679071,3708.6545970025886
OAS30008_MR_d2035,1307064.438116312,692154.3542666432,495411.7744378256,4134.370382020224,3690.4111463670447
OAS30009_MR_d0148,1489874.0694815516,699388.1978176722,513951.79602074536,3749.020892328696,3316.146232205746
OAS30009_MR_d1210,1485998.75998497,683354.2732166891,514162.9475100942,3830.975773889637,3201.621803499328
OAS30009_MR_d2457,1479271.70537138,685969.7445566092,514752.0907257696,3663.7641108356743,3215.218847662125
OAS30010_MR_d0068,1269994.4888920784,640813.953488372,515199.08179159946,3541.114420790861,3120.268903888722
OAS30011_MR_d0055,1266806.430809319,566652.5682953995,467492.77122985,3836.848848251479,3626.888893625184
OAS30011_MR_d1671,1265478.712066412,519672.6808609387,457601.20670650346,3606.544062191797,3396.878807217033
OAS30012_MR_d0124,1759770.0,620052.0451536281,466083.4867624746,2882.720469152219,2957.8865419912827
OAS30012_MR_d0581,1757778.75,609238.9827218016,466671.4738700761,2941.9160403435303,2931.7469562082256
OAS30013_MR_d0102,1501927.973612547,619614.3899009756,516494.0213903934,3393.32976649028,3106.104100862264
OAS30014_MR_d0196,1259275.5519896746,671460.3187712275,502582.0215314709,3854.144415071236,3682.672462603423
OAS30014_MR_d1176,1255206.7481610775,660930.9467927974,496318.81938104186,3721.946835818184,3635.363438351952
OAS30015_MR_d0116,1423723.7454183102,662839.0755511601,510428.1728762035,3749.455652921493,3369.7893692878674
OAS30015_MR_d0788,1425811.9150149822,653408.6190886316,508753.973174584,3707.859100638793,3338.778183940098
OAS30015_MR_d1374,1413089.673813343,636788.5816109247,509025.6735421477,3692.669039246644,3310.1453623940174
