MRID,MUSE_702,MUSE_601,MUSE_604,MUSE_47,MUSE_48
674_20141101,1256822.498247385,643480.1455418075,552165.5669343526,3942.4468559962,3522.6018661368644
674_20160823,1238753.2489894629,640549.592024745,520444.29246347694,3884.284791236597,3418.835543784565
677_20130422,1648492.8655052185,647088.3658090591,481741.64909910434,3880.664810910912,3602.730930944921
68_20080215,1197714.0475928783,682984.9463227448,496732.9963580621,4507.366533245833,4177.838782881389
68_20090401,1193901.6474413872,685806.9107202805,494294.7257964978,4461.392798200454,4130.81279060184
68_20101124,1189396.8472623825,672920.8082618013,500456.1404570788,4491.27490506112,4049.793979603779
68_20120321,1192734.047394991,678099.2107209152,499523.4746389388,4529.063479367571,4047.0951612010726
68_20130913,1188276.7163715365,666908.1868014234,496634.4013701893,4414.649959403288,3935.204821515852
68_20150506,1189068.42038548,669978.9078718042,496268.9135333756,4499.728022557476,3887.834282479102
680_20180829,1467659.9245431423,618912.3964847396,492349.3416041068,3039.945273353874,2916.203911265431
681_20080620,1317974.4523715973,682568.5324388698,489602.01654903166,3912.5039150988064,3521.904522576464
681_20100115,1314301.2522256374,678371.0126719811,473472.2086535415,3914.2990967367296,3574.8335313092616
681_20110618,1311520.8521151545,664805.6698757655,473056.3419200061,3823.158580481529,3439.7959986604856
681_20130406,1297390.8515536785,666041.276075027,449882.46872106695,3740.467405811726,3350.2842782606444
681_20140817,1291165.3425188065,667244.6427559055,442998.8020145487,3835.579517329896,3404.973916631737
681_20160412,1312019.580225706,662503.7430934552,454009.73341491766,3717.081585260673,3326.016351624873
682_20140511,1341099.7874794006,650668.2719151312,452667.5041876047,3737.553508282152,3370.323841429369
682_20170729,1334951.4028828144,649243.4617991446,458381.7514665669,3839.600813331152,3424.404608876528
683_20080221,1388216.4551627636,546057.827871793,503883.9362508612,3474.729156059531,3495.743170877394
683_20090911,1385793.6550664902,520442.74125670665,490146.9915866259,3200.952869171859,3378.026857679239
691_20130206,1555413.6618065834,638012.3563276031,458008.2442380599,3575.6123001624774,3377.028463683229
